#,symbol,entry,exit,days,in_px,out_px,net_pct,exit_reason
334,JINDALSAW,2026-04-29,2026-06-19,51,229.8,260.9,12.52,still open (marked to last close)
335,GESHIP,2026-05-04,2026-06-19,46,1536.8,1437.7,-7.45,still open (marked to last close)
336,MOTHERSON,2026-05-04,2026-05-20,16,120.2,132.2,8.95,Lean Score 36 fell below exit 60 (signal faded / re-rated)
337,ONGC,2026-05-04,2026-06-19,46,292.9,246.2,-16.93,Stop-loss hit (down -16%)
338,SAMBHV,2026-05-04,2026-06-01,28,121.9,102.3,-17.11,Stop-loss hit (down -16%)
339,AKUMS,2026-05-05,2026-05-14,9,552.8,527.9,-5.5,Lean Score 48 fell below exit 60 (signal faded / re-rated)
340,SUNTV,2026-05-05,2026-05-22,17,580.1,486.7,-17.1,Stop-loss hit (down -16%)
341,OIL,2026-05-06,2026-06-19,44,450.2,418.1,-8.13,still open (marked to last close)
342,QUESS,2026-05-14,2026-06-19,36,207.1,249.9,19.64,still open (marked to last close)
343,SIGNATURE,2026-05-14,2026-06-19,36,866.2,798.8,-8.78,still open (marked to last close)
344,DEEPINDS,2026-05-15,2026-06-19,35,445.6,487.1,8.3,still open (marked to last close)
345,PATELENG,2026-05-15,2026-06-19,35,26.3,31.0,17.13,still open (marked to last close)
346,SJVN,2026-05-15,2026-06-19,35,77.4,72.9,-6.86,still open (marked to last close)
347,FUSION,2026-05-18,2026-06-19,32,183.3,180.0,-2.82,still open (marked to last close)
348,IDEA,2026-05-18,2026-06-19,32,12.9,14.9,15.02,still open (marked to last close)
349,TATASTEEL,2026-05-18,2026-06-19,32,209.7,199.0,-6.13,still open (marked to last close)
350,SUNTECK,2026-05-19,2026-06-19,31,295.9,326.1,9.21,still open (marked to last close)
351,TATAINVEST,2026-05-19,2026-06-19,31,663.5,691.0,3.14,still open (marked to last close)
352,IOLCP,2026-05-20,2026-06-19,30,119.5,130.2,7.93,still open (marked to last close)
353,JYOTHYLAB,2026-05-20,2026-06-19,30,209.6,202.3,-4.49,still open (marked to last close)
354,KTKBANK,2026-05-20,2026-06-19,30,263.8,274.7,3.13,still open (marked to last close)
355,ZYDUSWELL,2026-05-21,2026-06-19,29,493.7,512.4,2.78,still open (marked to last close)
356,GHCL,2026-05-25,2026-06-19,25,443.3,435.4,-2.78,still open (marked to last close)
